# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 14.0
# scan_axis: phiW
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-0.04661654135	0.2757272202	0.3820629718	1.385655618	0.9025173447	0.9156095931
-0.04360902256	0.2776486289	0.384334855	1.384249065	0.9088065482	0.9210541355
-0.04060150376	0.2795700375	0.3866067382	1.382861846	0.9150957518	0.9264986779
-0.03759398496	0.2814914461	0.3888786214	1.381493565	0.9213849554	0.9319432203
-0.03458646617	0.2834128548	0.3911505046	1.380143836	0.927674159	0.9373877626
-0.03157894737	0.2853342634	0.3934223877	1.378812285	0.9339633625	0.942832305
-0.02857142857	0.287255672	0.3956942709	1.377498547	0.9402525661	0.9482768474
-0.02556390977	0.2891770807	0.3979661541	1.376202267	0.9465417697	0.9537213898
-0.02255639098	0.2910984893	0.4002380373	1.3749231	0.9528309732	0.9591659322
-0.01954887218	0.2930198979	0.4025099205	1.373660708	0.9591201768	0.9646104745
-0.01654135338	0.2949413066	0.4047818037	1.372414764	0.9654093804	0.9700550169
-0.01353383459	0.2968627152	0.4070536869	1.371184949	0.9716985839	0.9754995593
-0.01052631579	0.2987841238	0.4093255701	1.36997095	0.9779877875	0.9809441017
-0.007518796992	0.3007055325	0.4115974533	1.368772466	0.9842769911	0.9863886441
-0.004511278195	0.3026269411	0.4138693364	1.3675892	0.9905661946	0.9918331864
-0.001503759398	0.3045483497	0.4161412196	1.366420865	0.9968553982	0.9972777288
0.001503759398	0.3064697584	0.4184131028	1.36526718	1.003144602	1.002722271
0.004511278195	0.308391167	0.420684986	1.364127871	1.009433805	1.008166814
0.007518796992	0.3103125756	0.4229568692	1.36300267	1.015723009	1.013611356
0.01052631579	0.3122339843	0.4252287524	1.361891318	1.022012212	1.019055898
0.01353383459	0.3141553929	0.4275006356	1.36079356	1.028301416	1.024500441
0.01654135338	0.3160768015	0.4297725188	1.359709149	1.03459062	1.029944983
0.01954887218	0.3179982102	0.432044402	1.358637842	1.040879823	1.035389525
0.02255639098	0.3199196188	0.4343162851	1.357579403	1.047169027	1.040834068
0.02556390977	0.3218410274	0.4365881683	1.356533602	1.05345823	1.04627861
0.02857142857	0.3237624361	0.4388600515	1.355500214	1.059747434	1.051723153
0.03157894737	0.3256838447	0.4411319347	1.35447902	1.066036637	1.057167695
0.03458646617	0.3276052533	0.4434038179	1.353469804	1.072325841	1.062612237
0.03759398496	0.329526662	0.4456757011	1.352472357	1.078615045	1.06805678
0.04060150376	0.3314480706	0.4479475843	1.351486474	1.084904248	1.073501322
0.04360902256	0.3333694792	0.4502194675	1.350511956	1.091193452	1.078945865
0.04661654135	0.3352908879	0.4524913506	1.349548607	1.097482655	1.084390407
0.04962406015	0.3372122965	0.4547632338	1.348596236	1.103771859	1.089834949
0.05263157895	0.3391337051	0.457035117	1.347654657	1.110061062	1.095279492
0.05563909774	0.3410551138	0.4593070002	1.346723687	1.116350266	1.100724034
0.05864661654	0.3429765224	0.4615788834	1.345803148	1.12263947	1.106168576
0.06165413534	0.344897931	0.4638507666	1.344892865	1.128928673	1.111613119
0.06466165414	0.3468193397	0.4661226498	1.343992668	1.135217877	1.117057661
0.06766917293	0.3487407483	0.468394533	1.343102391	1.14150708	1.122502204
0.07067669173	0.3506621569	0.4706664162	1.34222187	1.147796284	1.127946746
0.07368421053	0.3525835656	0.4729382993	1.341350946	1.154085487	1.133391288
0.07669172932	0.3545049742	0.4752101825	1.340489463	1.160374691	1.138835831
0.07969924812	0.3564263828	0.4774820657	1.339637268	1.166663895	1.144280373
0.08270676692	0.3583477915	0.4797539489	1.338794211	1.172953098	1.149724915
0.08571428571	0.3602692001	0.4820258321	1.337960147	1.179242302	1.155169458
0.08872180451	0.3621906087	0.4842977153	1.337134933	1.185531505	1.160614
0.09172932331	0.3641120174	0.4865695985	1.336318427	1.191820709	1.166058543
0.09473684211	0.366033426	0.4888414817	1.335510494	1.198109912	1.171503085
0.0977443609	0.3679548346	0.4911133648	1.334710999	1.204399116	1.176947627
0.1007518797	0.3698762433	0.493385248	1.33391981	1.21068832	1.18239217
0.1037593985	0.3717976519	0.4956571312	1.333136798	1.216977523	1.187836712
0.1067669173	0.3737190605	0.4979290144	1.332361838	1.223266727	1.193281254
0.1097744361	0.3756404692	0.5002008976	1.331594806	1.22955593	1.198725797
0.1127819549	0.3775618778	0.5024727808	1.33083558	1.235845134	1.204170339
0.1157894737	0.3794832864	0.504744664	1.330084043	1.242134337	1.209614882
0.1187969925	0.3814046951	0.5070165472	1.329340078	1.248423541	1.215059424
0.1218045113	0.3833261037	0.5092884304	1.328603571	1.254712745	1.220503966
0.1248120301	0.3852475123	0.5115603135	1.327874411	1.261001948	1.225948509
0.1278195489	0.387168921	0.5138321967	1.327152488	1.267291152	1.231393051
0.1308270677	0.3890903296	0.5161040799	1.326437695	1.273580355	1.236837594
0.1338345865	0.3910117382	0.5183759631	1.325729927	1.279869559	1.242282136
