# VHH-NNLO SMEFT grid scan points
# process: WplusHH
# energy_tev: 13.6
# scan_axes: phi,phiW
# windows: phi=[-15,5]; phiW=[-1,1]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phi	phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-12.94871795	0.4871794872	1.716204023	2.058851991	1.199654565	5.784005479	5.751751183
-12.94871795	0.5384615385	1.763965732	2.115618054	1.199353261	5.944973514	5.91033678
-12.94871795	0.5897435897	1.811727442	2.172384118	1.199067844	6.10594155	6.068922378
-12.94871795	0.641025641	1.859489151	2.229150181	1.198797089	6.266909585	6.227507975
-12.94871795	0.6923076923	1.907250861	2.285916245	1.198539894	6.42787762	6.386093573
-12.94871795	0.7435897436	1.95501257	2.342682308	1.198295266	6.588845655	6.54467917
-12.94871795	0.7948717949	2.00277428	2.399448372	1.198062306	6.749813691	6.703264768
-12.94871795	0.8461538462	2.050535989	2.456214435	1.197840198	6.910781726	6.861850365
-12.94871795	0.8974358974	2.098297699	2.512980499	1.197628201	7.071749761	7.020435963
-12.94871795	0.9487179487	2.146059409	2.569746562	1.197425641	7.232717796	7.17902156
-12.94871795	1	2.193821118	2.626512626	1.1972319	7.393685832	7.337607158
-12.43589744	-1	0.2928668305	0.366631309	1.251870375	0.9870291234	1.024246558
-12.43589744	-0.9487179487	0.34062854	0.4233973725	1.242988543	1.147997159	1.182832156
-12.43589744	-0.8974358974	0.3883902495	0.480163436	1.23629117	1.308965194	1.341417753
-12.43589744	-0.8461538462	0.4361519591	0.5369294996	1.231060616	1.469933229	1.500003351
-12.43589744	-0.7948717949	0.4839136686	0.5936955631	1.226862562	1.630901265	1.658588948
-12.43589744	-0.7435897436	0.5316753782	0.6504616266	1.22341875	1.7918693	1.817174546
-12.43589744	-0.6923076923	0.5794370877	0.7072276902	1.22054267	1.952837335	1.975760143
-12.43589744	-0.641025641	0.6271987973	0.7639937537	1.218104622	2.11380537	2.134345741
-12.43589744	-0.5897435897	0.6749605068	0.8207598172	1.216011617	2.274773406	2.292931338
-12.43589744	-0.5384615385	0.7227222163	0.8775258808	1.214195248	2.435741441	2.451516936
-12.43589744	-0.4871794872	0.7704839259	0.9342919443	1.21260407	2.596709476	2.610102533
-12.43589744	-0.4358974359	0.8182456354	0.9910580079	1.211198649	2.757677511	2.768688131
-12.43589744	-0.3846153846	0.866007345	1.047824071	1.20994825	2.918645547	2.927273728
-12.43589744	-0.3333333333	0.9137690545	1.104590135	1.208828565	3.079613582	3.085859326
-12.43589744	-0.2820512821	0.961530764	1.161356198	1.207820115	3.240581617	3.244444923
-12.43589744	-0.2307692308	1.009292474	1.218122262	1.20690711	3.401549653	3.403030521
-12.43589744	-0.1794871795	1.057054183	1.274888326	1.20607661	3.562517688	3.561616118
-12.43589744	-0.1282051282	1.104815893	1.331654389	1.205317916	3.723485723	3.720201716
-12.43589744	-0.07692307692	1.152577602	1.388420453	1.204622101	3.884453758	3.878787313
-12.43589744	-0.02564102564	1.200339312	1.445186516	1.203981659	4.045421794	4.037372911
-12.43589744	0.02564102564	1.248101021	1.50195258	1.203390234	4.206389829	4.195958508
-12.43589744	0.07692307692	1.295862731	1.558718643	1.202842405	4.367357864	4.354544106
-12.43589744	0.1282051282	1.34362444	1.615484707	1.202333523	4.5283259	4.513129703
-12.43589744	0.1794871795	1.39138615	1.67225077	1.201859577	4.689293935	4.671715301
-12.43589744	0.2307692308	1.439147859	1.729016834	1.20141709	4.85026197	4.830300898
-12.43589744	0.2820512821	1.486909569	1.785782897	1.20100303	5.011230005	4.988886496
-12.43589744	0.3333333333	1.534671279	1.842548961	1.200614742	5.172198041	5.147472093
-12.43589744	0.3846153846	1.582432988	1.899315024	1.200249893	5.333166076	5.306057691
-12.43589744	0.4358974359	1.630194698	1.956081088	1.199906423	5.494134111	5.464643288
-12.43589744	0.4871794872	1.677956407	2.012847151	1.199582506	5.655102147	5.623228886
-12.43589744	0.5384615385	1.725718117	2.069613215	1.199276519	5.816070182	5.781814483
-12.43589744	0.5897435897	1.773479826	2.126379279	1.198987012	5.977038217	5.940400081
-12.43589744	0.641025641	1.821241536	2.183145342	1.198712691	6.138006252	6.098985678
-12.43589744	0.6923076923	1.869003245	2.239911406	1.19845239	6.298974288	6.257571276
-12.43589744	0.7435897436	1.916764955	2.296677469	1.198205061	6.459942323	6.416156873
-12.43589744	0.7948717949	1.964526664	2.353443533	1.197969758	6.620910358	6.574742471
-12.43589744	0.8461538462	2.012288374	2.410209596	1.197745625	6.781878393	6.733328068
-12.43589744	0.8974358974	2.060050083	2.46697566	1.197531885	6.942846429	6.891913666
-12.43589744	0.9487179487	2.107811793	2.523741723	1.197327831	7.103814464	7.050499263
-12.43589744	1	2.155573503	2.580507787	1.19713282	7.264782499	7.209084861
-11.92307692	-1	0.254619215	0.3206264699	1.259239095	0.858125791	0.8957242609
-11.92307692	-0.9487179487	0.3023809245	0.3773925334	1.248069911	1.019093826	1.054309858
-11.92307692	-0.8974358974	0.350142634	0.434158597	1.239947823	1.180061862	1.212895456
-11.92307692	-0.8461538462	0.3979043436	0.4909246605	1.233775575	1.341029897	1.371481053
-11.92307692	-0.7948717949	0.4456660531	0.547690724	1.228926278	1.501997932	1.530066651
-11.92307692	-0.7435897436	0.4934277627	0.6044567876	1.225015764	1.662965967	1.688652248
-11.92307692	-0.6923076923	0.5411894722	0.6612228511	1.22179548	1.823934003	1.847237846
-11.92307692	-0.641025641	0.5889511817	0.7179889146	1.219097502	1.984902038	2.005823443
-11.92307692	-0.5897435897	0.6367128913	0.7747549782	1.216804291	2.145870073	2.164409041
-11.92307692	-0.5384615385	0.6844746008	0.8315210417	1.214831114	2.306838108	2.322994638
-11.92307692	-0.4871794872	0.7322363104	0.8882871052	1.213115346	2.467806144	2.481580236
-11.92307692	-0.4358974359	0.7799980199	0.9450531688	1.211609702	2.628774179	2.640165833
-11.92307692	-0.3846153846	0.8277597294	1.001819232	1.21027781	2.789742214	2.798751431
-11.92307692	-0.3333333333	0.875521439	1.058585296	1.209091233	2.95071025	2.957337028
-11.92307692	-0.2820512821	0.9232831485	1.115351359	1.208027419	3.111678285	3.115922626
-11.92307692	-0.2307692308	0.9710448581	1.172117423	1.207068256	3.27264632	3.274508223
-11.92307692	-0.1794871795	1.018806568	1.228883486	1.206199023	3.433614355	3.433093821
-11.92307692	-0.1282051282	1.066568277	1.28564955	1.20540764	3.594582391	3.591679418
-11.92307692	-0.07692307692	1.114329987	1.342415614	1.204684097	3.755550426	3.750265016
-11.92307692	-0.02564102564	1.162091696	1.399181677	1.204020028	3.916518461	3.908850613
-11.92307692	0.02564102564	1.209853406	1.455947741	1.203408391	4.077486497	4.067436211
-11.92307692	0.07692307692	1.257615115	1.512713804	1.202843211	4.238454532	4.226021808
-11.92307692	0.1282051282	1.305376825	1.569479868	1.20231939	4.399422567	4.384607406
-11.92307692	0.1794871795	1.353138534	1.626245931	1.201832547	4.560390602	4.543193003
-11.92307692	0.2307692308	1.400900244	1.683011995	1.2013789	4.721358638	4.701778601
-11.92307692	0.2820512821	1.448661953	1.739778058	1.200955167	4.882326673	4.860364198
-11.92307692	0.3333333333	1.496423663	1.796544122	1.200558482	5.043294708	5.018949796
-11.92307692	0.3846153846	1.544185373	1.853310185	1.200186337	5.204262744	5.177535393
-11.92307692	0.4358974359	1.591947082	1.910076249	1.199836521	5.365230779	5.336120991
-11.92307692	0.4871794872	1.639708792	1.966842312	1.199507085	5.526198814	5.494706588
-11.92307692	0.5384615385	1.687470501	2.023608376	1.199196297	5.687166849	5.653292186
-11.92307692	0.5897435897	1.735232211	2.080374439	1.198902618	5.848134885	5.811877783
-11.92307692	0.641025641	1.78299392	2.137140503	1.198624672	6.00910292	5.970463381
-11.92307692	0.6923076923	1.83075563	2.193906567	1.198361229	6.170070955	6.129048978
