# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: phiW
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
0.01403508772	0.296701769	0.4035142725	1.35999955	1.020653257	1.017927661
0.01754385965	0.2982027337	0.4052909377	1.35911208	1.025816572	1.022409576
0.02105263158	0.2997036984	0.407067603	1.358233499	1.030979886	1.026891491
0.02456140351	0.3012046631	0.4088442683	1.357363675	1.0361432	1.031373406
0.02807017544	0.3027056278	0.4106209336	1.356502476	1.041306515	1.035855321
0.03157894737	0.3042065925	0.4123975988	1.355649776	1.046469829	1.040337236
0.0350877193	0.3057075571	0.4141742641	1.354805449	1.051633143	1.044819151
0.03859649123	0.3072085218	0.4159509294	1.353969372	1.056796458	1.049301067
0.04210526316	0.3087094865	0.4177275947	1.353141426	1.061959772	1.053782982
0.04561403509	0.3102104512	0.4195042599	1.352321491	1.067123086	1.058264897
0.04912280702	0.3117114159	0.4212809252	1.351509453	1.072286401	1.062746812
0.05263157895	0.3132123806	0.4230575905	1.350705198	1.077449715	1.067228727
0.05614035088	0.3147133452	0.4248342557	1.349908614	1.082613029	1.071710642
0.05964912281	0.3162143099	0.426610921	1.349119593	1.087776343	1.076192557
0.06315789474	0.3177152746	0.4283875863	1.348338026	1.092939658	1.080674472
0.06666666667	0.3192162393	0.4301642516	1.34756381	1.098102972	1.085156388
0.0701754386	0.320717204	0.4319409168	1.34679684	1.103266286	1.089638303
0.07368421053	0.3222181687	0.4337175821	1.346037016	1.108429601	1.094120218
0.07719298246	0.3237191333	0.4354942474	1.345284237	1.113592915	1.098602133
0.08070175439	0.325220098	0.4372709127	1.344538407	1.118756229	1.103084048
0.08421052632	0.3267210627	0.4390475779	1.34379943	1.123919544	1.107565963
0.08771929825	0.3282220274	0.4408242432	1.343067212	1.129082858	1.112047878
0.09122807018	0.3297229921	0.4426009085	1.34234166	1.134246172	1.116529794
0.09473684211	0.3312239568	0.4443775738	1.341622684	1.139409487	1.121011709
0.09824561404	0.3327249214	0.446154239	1.340910194	1.144572801	1.125493624
0.101754386	0.3342258861	0.4479309043	1.340204104	1.149736115	1.129975539
0.1052631579	0.3357268508	0.4497075696	1.339504328	1.15489943	1.134457454
0.1087719298	0.3372278155	0.4514842349	1.33881078	1.160062744	1.138939369
0.1122807018	0.3387287802	0.4532609001	1.33812338	1.165226058	1.143421284
0.1157894737	0.3402297449	0.4550375654	1.337442044	1.170389373	1.1479032
0.1192982456	0.3417307095	0.4568142307	1.336766694	1.175552687	1.152385115
0.1228070175	0.3432316742	0.458590896	1.33609725	1.180716001	1.15686703
0.1263157895	0.3447326389	0.4603675612	1.335433635	1.185879316	1.161348945
0.1298245614	0.3462336036	0.4621442265	1.334775775	1.19104263	1.16583086
0.1333333333	0.3477345683	0.4639208918	1.334123593	1.196205944	1.170312775
0.1368421053	0.349235533	0.465697557	1.333477018	1.201369259	1.17479469
0.1403508772	0.3507364976	0.4674742223	1.332835976	1.206532573	1.179276605
0.1438596491	0.3522374623	0.4692508876	1.332200398	1.211695887	1.183758521
0.1473684211	0.353738427	0.4710275529	1.331570214	1.216859202	1.188240436
0.150877193	0.3552393917	0.4728042181	1.330945355	1.222022516	1.192722351
0.1543859649	0.3567403564	0.4745808834	1.330325754	1.22718583	1.197204266
0.1578947368	0.3582413211	0.4763575487	1.329711344	1.232349144	1.201686181
0.1614035088	0.3597422858	0.478134214	1.329102063	1.237512459	1.206168096
0.1649122807	0.3612432504	0.4799108792	1.328497844	1.242675773	1.210650011
0.1684210526	0.3627442151	0.4816875445	1.327898625	1.247839087	1.215131927
0.1719298246	0.3642451798	0.4834642098	1.327304345	1.253002402	1.219613842
0.1754385965	0.3657461445	0.4852408751	1.326714943	1.258165716	1.224095757
