# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: phi
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phi	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-8.954887218	0.9150339063	1.157535707	1.26501947	3.147714084	2.920064283
-8.909774436	0.9118886368	1.153701309	1.265177854	3.136894365	2.910391415
-8.864661654	0.9087433673	1.149866911	1.265337335	3.126074647	2.900718547
-8.819548872	0.9055980978	1.146032512	1.265497923	3.115254929	2.891045679
-8.77443609	0.9024528283	1.142198114	1.265659631	3.10443521	2.881372811
-8.729323308	0.8993075588	1.138363715	1.26582247	3.093615492	2.871699943
-8.684210526	0.8961622893	1.134529317	1.265986452	3.082795774	2.862027075
-8.639097744	0.8930170198	1.130694918	1.266151588	3.071976055	2.852354207
-8.593984962	0.8898717503	1.12686052	1.266317893	3.061156337	2.84268134
-8.54887218	0.8867264808	1.123026121	1.266485377	3.050336619	2.833008472
-8.503759398	0.8835812113	1.119191723	1.266654053	3.0395169	2.823335604
-8.458646617	0.8804359418	1.115357324	1.266823935	3.028697182	2.813662736
-8.413533835	0.8772906723	1.111522926	1.266995035	3.017877464	2.803989868
-8.368421053	0.8741454028	1.107688527	1.267167366	3.007057746	2.794317
-8.323308271	0.8710001333	1.103854129	1.267340941	2.996238027	2.784644132
-8.278195489	0.8678548638	1.10001973	1.267515775	2.985418309	2.774971264
-8.233082707	0.8647095943	1.096185332	1.267691881	2.974598591	2.765298396
-8.187969925	0.8615643248	1.092350933	1.267869272	2.963778872	2.755625528
-8.142857143	0.8584190553	1.088516535	1.268047964	2.952959154	2.74595266
-8.097744361	0.8552737858	1.084682137	1.268227969	2.942139436	2.736279792
-8.052631579	0.8521285163	1.080847738	1.268409304	2.931319717	2.726606924
-8.007518797	0.8489832468	1.07701334	1.268591982	2.920499999	2.716934057
-7.962406015	0.8458379773	1.073178941	1.268776019	2.909680281	2.707261189
-7.917293233	0.8426927078	1.069344543	1.268961429	2.898860563	2.697588321
-7.872180451	0.8395474383	1.065510144	1.269148229	2.888040844	2.687915453
-7.827067669	0.8364021688	1.061675746	1.269336433	2.877221126	2.678242585
-7.781954887	0.8332568993	1.057841347	1.269526059	2.866401408	2.668569717
-7.736842105	0.8301116298	1.054006949	1.269717121	2.855581689	2.658896849
-7.691729323	0.8269663603	1.05017255	1.269909637	2.844761971	2.649223981
-7.646616541	0.8238210908	1.046338152	1.270103623	2.833942253	2.639551113
-7.601503759	0.8206758213	1.042503753	1.270299095	2.823122534	2.629878245
-7.556390977	0.8175305518	1.038669355	1.270496072	2.812302816	2.620205377
-7.511278195	0.8143852823	1.034834956	1.27069457	2.801483098	2.610532509
-7.466165414	0.8112400128	1.031000558	1.270894608	2.790663379	2.600859641
-7.421052632	0.8080947433	1.02716616	1.271096203	2.779843661	2.591186774
-7.37593985	0.8049494738	1.023331761	1.271299373	2.769023943	2.581513906
-7.330827068	0.8018042043	1.019497363	1.271504137	2.758204225	2.571841038
-7.285714286	0.7986589348	1.015662964	1.271710514	2.747384506	2.56216817
-7.240601504	0.7955136653	1.011828566	1.271918522	2.736564788	2.552495302
-7.195488722	0.7923683958	1.007994167	1.272128182	2.72574507	2.542822434
-7.15037594	0.7892231263	1.004159769	1.272339514	2.714925351	2.533149566
-7.105263158	0.7860778568	1.00032537	1.272552536	2.704105633	2.523476698
-7.060150376	0.7829325873	0.9964909717	1.27276727	2.693285915	2.51380383
-7.015037594	0.7797873178	0.9926565733	1.272983736	2.682466196	2.504130962
-6.969924812	0.7766420483	0.9888221748	1.273201956	2.671646478	2.494458094
-6.92481203	0.7734967788	0.9849877763	1.27342195	2.66082676	2.484785226
