# VHH-NNLO SMEFT grid scan points
# process: WminusHH
# energy_tev: 13.6
# scan_axes: phi,phiW
# windows: phi=[-15,5]; phiW=[-1,1]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phi	phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-13.46153846	-0.9487179487	0.2541933101	0.2965036064	1.166449291	1.589771975	1.584438205
-13.46153846	-0.8974358974	0.2789095482	0.3253450888	1.166489605	1.7443519	1.73855959
-13.46153846	-0.8461538462	0.3036257864	0.3541865713	1.166523356	1.898931825	1.892680976
-13.46153846	-0.7948717949	0.3283420245	0.3830280537	1.166552025	2.05351175	2.046802362
-13.46153846	-0.7435897436	0.3530582627	0.4118695362	1.166576681	2.208091674	2.200923747
-13.46153846	-0.6923076923	0.3777745008	0.4407110186	1.16659811	2.362671599	2.355045133
-13.46153846	-0.641025641	0.402490739	0.469552501	1.166616907	2.517251524	2.509166518
-13.46153846	-0.5897435897	0.4272069771	0.4983939835	1.166633529	2.671831449	2.663287904
-13.46153846	-0.5384615385	0.4519232152	0.5272354659	1.166648333	2.826411373	2.81740929
-13.46153846	-0.4871794872	0.4766394534	0.5560769483	1.166661602	2.980991298	2.971530675
-13.46153846	-0.4358974359	0.5013556915	0.5849184308	1.166673563	3.135571223	3.125652061
-13.46153846	-0.3846153846	0.5260719297	0.6137599132	1.166684399	3.290151147	3.279773446
